TYPES,yealy,emis
Total HC (G),2010,851
Exhaust CO (G),2010,9280
Exhaust NOx (G),2010,951
Exhaust PM2.5 (G),2010,11
Brakewear PM2.5 (G),2010,3
Tirewear PM2.5 (G),2010,1
Total HC (D),2010,1190
Exhaust CO (D),2010,19401
Exhaust NOx (D),2010,1223
Exhaust PM2.5 (D),2010,36
Brakewear PM2.5 (D),2010,3
Tirewear PM2.5 (D),2010,1
Total HC (AVG) (AVG),2010,857
Exhaust CO (AVG),2010,9786
Exhaust NOx (AVG),2010,2238
Exhaust PM2.5 (AVG),2010,66
Brakewear PM2.5(AVG),2010,3
Tirewear PM2.5(AVG),2010,1
Total HC (G),2011,755
Exhaust CO (G),2011,8441
Exhaust NOx (G),2011,828
Exhaust PM2.5 (G),2011,10
Brakewear PM2.5 (G),2011,3
Tirewear PM2.5 (G),2011,1
Total HC (D),2011,1097
Exhaust CO (D),2011,17945
Exhaust NOx (D),2011,1131
Exhaust PM2.5 (D),2011,27
Brakewear PM2.5 (D),2011,3
Tirewear PM2.5 (D),2011,1
Total HC (AVG) (AVG),2011,785
Exhaust CO (AVG),2011,9241
Exhaust NOx (AVG),2011,1996
Exhaust PM2.5 (AVG),2011,55
Brakewear PM2.5(AVG),2011,3
Tirewear PM2.5(AVG),2011,1
Total HC (G),2012,591
Exhaust CO (G),2012,7070
Exhaust NOx (G),2012,630
Exhaust PM2.5 (G),2012,8
Brakewear PM2.5 (G),2012,3
Tirewear PM2.5 (G),2012,1
Total HC (D),2012,997
Exhaust CO (D),2012,16342
Exhaust NOx (D),2012,947
Exhaust PM2.5 (D),2012,24
Brakewear PM2.5 (D),2012,3
Tirewear PM2.5 (D),2012,1
Total HC (AVG) (AVG),2012,702
Exhaust CO (AVG),2012,8622
Exhaust NOx (AVG),2012,1801
Exhaust PM2.5 (AVG),2012,49
Brakewear PM2.5(AVG),2012,3
Tirewear PM2.5(AVG),2012,1
Total HC (G),2013,529
Exhaust CO (G),2013,6533
Exhaust NOx (G),2013,562
Exhaust PM2.5 (G),2013,7
Brakewear PM2.5 (G),2013,3
Tirewear PM2.5 (G),2013,1
Total HC (D),2013,520
Exhaust CO (D),2013,9831
Exhaust NOx (D),2013,760
Exhaust PM2.5 (D),2013,16
Brakewear PM2.5 (D),2013,3
Tirewear PM2.5 (D),2013,1
Total HC (AVG) (AVG),2013,638
Exhaust CO (AVG),2013,8024
Exhaust NOx (AVG),2013,1618
Exhaust PM2.5 (AVG),2013,43
Brakewear PM2.5(AVG),2013,3
Tirewear PM2.5(AVG),2013,1
Total HC (G),2014,482
Exhaust CO (G),2014,6212
Exhaust NOx (G),2014,479
Exhaust PM2.5 (G),2014,6
Brakewear PM2.5 (G),2014,3
Tirewear PM2.5 (G),2014,1
Total HC (D),2014,344
Exhaust CO (D),2014,6647
Exhaust NOx (D),2014,476
Exhaust PM2.5 (D),2014,9
Brakewear PM2.5 (D),2014,3
Tirewear PM2.5 (D),2014,1
Total HC (AVG) (AVG),2014,588
Exhaust CO (AVG),2014,7650
Exhaust NOx (AVG),2014,1426
Exhaust PM2.5 (AVG),2014,37
Brakewear PM2.5(AVG),2014,3
Tirewear PM2.5(AVG),2014,1
Total HC (G),2015,433
Exhaust CO (G),2015,5763
Exhaust NOx (G),2015,401
Exhaust PM2.5 (G),2015,6
Brakewear PM2.5 (G),2015,3
